Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J10-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Alaska,2020,6,2/8/2020,94,77,0,15,,,,,,,,23,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,7,2/15/2020,88,73,,20,,,0,,,,0,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,8,2/22/2020,83,64,,16,,,,,,0,,,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Alaska,2020,9,2/29/2020,83,75,,17,,0,,,,,,14,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,10,3/7/2020,78,67,0,20,0,,,,,,0,15,,0,0,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,11,3/14/2020,92,80,,20,,0,,,,0,,22,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,12,3/21/2020,67,54,0,,,,,,,,,10,,0,0,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,13,3/28/2020,84,73,,16,,,,,,,0,14,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,14,4/4/2020,96,82,,20,,,,,,0,0,14,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,15,4/11/2020,81,69,,15,,,,,,,,18,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,16,4/18/2020,78,69,0,16,,,,,0,,0,12,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,17,4/25/2020,59,54,,12,0,,,,,,0,12,0,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Alaska,2020,18,5/2/2020,84,76,,17,,,,,,0,,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,19,5/9/2020,78,67,,19,,,,,,0,0,11,,,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),
Alaska,2020,20,5/16/2020,73,61,0,18,,0,,,0,,,18,,0,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,21,5/23/2020,73,64,0,17,,,0,,0,0,,16,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,22,5/30/2020,76,69,,21,,,0,,0,,,14,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,23,6/6/2020,59,53,0,12,,,,,,0,,17,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,24,6/13/2020,44,39,,13,0,,,,,0,0,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,25,6/20/2020,23,21,0,,0,,,,0,0,0,,,0,0,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Arizona,2019,1,1/5/2019,"1,351","1,224",12,260,44,61,34,86,23,27,20,314,59,0,0,,,,,,,,,,,,,,,
Arizona,2019,2,1/12/2019,"1,350","1,211",10,263,49,52,28,101,25,17,22,310,59,0,0,,,,,,,,,,,,,,,
Arizona,2019,3,1/19/2019,"1,270","1,147",10,256,46,78,27,84,24,15,28,256,70,0,0,,,,,,,,,,,,,,,
Arizona,2019,4,1/26/2019,"1,253","1,116",,265,36,67,33,80,19,14,18,262,53,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,5,2/2/2019,"1,217","1,091",,258,57,47,25,93,17,15,15,239,74,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,6,2/9/2019,"1,204","1,091",10,244,36,68,27,87,20,13,15,243,55,0,0,,,,,,,,,,,,,,,
Arizona,2019,7,2/16/2019,"1,188","1,079",,234,48,62,26,81,17,14,21,246,74,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,8,2/23/2019,"1,313","1,165",,274,52,66,33,86,17,19,23,256,60,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,9,3/2/2019,"1,250","1,122",,238,54,44,25,99,19,14,16,277,58,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,10,3/9/2019,"1,252","1,119",,254,43,50,35,75,27,24,17,274,64,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,11,3/16/2019,"1,279","1,155",,280,39,65,30,80,22,21,15,288,64,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,12,3/23/2019,"1,192","1,057",,229,39,63,27,81,16,15,16,233,63,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,13,3/30/2019,"1,240","1,114",,236,46,71,37,80,16,,18,265,63,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Arizona,2019,14,4/6/2019,"1,254","1,117",,252,47,66,32,94,15,17,19,238,69,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,15,4/13/2019,"1,325","1,178",,286,51,61,21,86,16,12,14,278,82,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,16,4/20/2019,"1,167","1,049",,231,45,52,19,87,25,14,15,273,46,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,17,4/27/2019,"1,176","1,054",,241,45,70,18,77,23,15,19,255,56,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,18,5/4/2019,"1,160","1,027",,237,61,53,16,62,16,21,24,246,54,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,19,5/11/2019,"1,191","1,057",12,244,57,53,17,81,17,10,26,263,42,0,0,,,,,,,,,,,,,,,
Arizona,2019,20,5/18/2019,"1,139","1,003",,231,39,71,,70,15,17,22,239,44,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Arizona,2019,21,5/25/2019,"1,122","1,006",,242,48,53,11,70,22,11,22,220,44,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,22,6/1/2019,"1,168","1,041",,251,39,59,18,76,22,15,12,235,58,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,23,6/8/2019,"1,074",941,,217,37,53,16,66,13,13,12,215,44,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,24,6/15/2019,"1,149","1,023",,254,40,58,10,53,14,17,21,239,50,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,25,6/22/2019,"1,060",940,,199,32,52,22,68,11,19,14,239,63,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,26,6/29/2019,"1,122",974,11,249,30,53,11,66,16,,29,213,54,0,0,,,,,,,,,,Suppressed (counts 1-9),,,,,
Arizona,2019,27,7/6/2019,"1,120",946,,248,39,46,11,62,15,10,20,214,39,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,28,7/13/2019,"1,165",993,10,239,39,59,11,58,17,27,18,240,51,0,0,,,,,,,,,,,,,,,
Arizona,2019,29,7/20/2019,"1,144",974,,223,46,49,,61,,11,17,255,52,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Arizona,2019,30,7/27/2019,"1,068",922,,201,51,57,10,47,19,14,22,238,47,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,31,8/3/2019,"1,085",940,,226,36,51,14,65,18,,20,216,43,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Arizona,2019,32,8/10/2019,"1,085",937,,232,34,61,,59,18,11,23,231,39,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Arizona,2019,33,8/17/2019,"1,071",946,,248,34,41,13,64,17,16,24,232,49,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,34,8/24/2019,"1,063",933,,243,34,52,10,66,15,18,14,204,47,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,35,8/31/2019,"1,151","1,018",,256,43,63,11,52,20,14,20,246,46,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,36,9/7/2019,"1,176","1,017",,234,43,67,10,73,14,,22,258,45,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Arizona,2019,37,9/14/2019,"1,038",910,,234,36,49,12,60,19,15,13,200,50,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,38,9/21/2019,"1,079",958,,236,39,57,11,51,17,13,17,225,55,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,39,9/28/2019,"1,159","1,039",,236,45,54,11,67,23,16,26,247,49,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,40,10/5/2019,"1,102",967,,248,36,62,12,57,15,17,24,189,47,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,41,10/12/2019,"1,117",992,,257,46,67,13,48,13,13,15,225,55,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,42,10/19/2019,"1,139","1,014",,245,35,72,20,67,21,17,18,221,48,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,43,10/26/2019,"1,013",906,,194,25,55,14,56,11,12,11,232,57,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,44,11/2/2019,"1,121","1,005",,251,38,73,12,49,20,12,13,216,69,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,45,11/9/2019,"1,254","1,115",10,271,36,75,15,65,14,17,25,268,58,0,0,,,,,,,,,,,,,,,
Arizona,2019,46,11/16/2019,"1,197","1,062",10,242,32,56,22,58,15,19,20,240,60,0,0,,,,,,,,,,,,,,,
Arizona,2019,47,11/23/2019,"1,220","1,076",,243,41,55,17,75,13,16,19,267,51,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,48,11/30/2019,"1,119","1,002",12,203,44,50,15,72,19,15,19,236,57,0,0,,,,,,,,,,,,,,,
Arizona,2019,49,12/7/2019,"1,222","1,100",11,263,52,59,20,69,19,15,20,260,48,0,0,,,,,,,,,,,,,,,
Arizona,2019,50,12/14/2019,"1,193","1,071",,240,33,60,26,71,10,18,17,253,51,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,51,12/21/2019,"1,165","1,039",,241,37,64,24,62,13,12,17,260,64,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2019,52,12/28/2019,"1,219","1,113",,263,46,60,20,78,16,12,20,258,59,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2020,1,1/4/2020,"1,297","1,178",,247,46,66,30,90,17,11,20,313,55,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2020,2,1/11/2020,"1,388","1,249",,276,58,67,26,86,20,19,30,294,64,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2020,3,1/18/2020,"1,312","1,174",,264,46,65,32,74,30,20,17,275,66,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2020,4,1/25/2020,"1,274","1,157",10,241,54,58,36,76,24,20,29,281,58,0,0,,,,,,,,,,,,,,,
Arizona,2020,5,2/1/2020,"1,262","1,131",,265,48,55,34,75,19,17,21,288,63,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2020,6,2/8/2020,"1,260","1,133",,239,50,66,31,78,17,12,24,278,63,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2020,7,2/15/2020,"1,309","1,190",,247,53,66,32,88,18,10,23,295,71,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2020,8,2/22/2020,"1,337","1,182",,261,36,59,31,83,16,17,26,285,65,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2020,9,2/29/2020,"1,351","1,200",,256,53,64,33,84,27,14,33,272,71,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2020,10,3/7/2020,"1,374","1,237",12,255,44,67,29,78,29,16,37,307,73,0,0,,,,,,,,,,,,,,,
Arizona,2020,11,3/14/2020,"1,346","1,202",,254,46,63,32,102,27,16,34,294,71,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2020,12,3/21/2020,"1,285","1,161",,262,42,63,37,79,30,13,34,256,64,,,,,Suppressed (counts 1-9),,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Arizona,2020,13,3/28/2020,"1,319","1,220",,263,52,66,37,80,18,20,42,271,61,30,28,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2020,14,4/4/2020,"1,353","1,258",,258,39,66,25,78,27,15,62,247,55,57,53,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2020,15,4/11/2020,"1,397","1,283",11,242,55,57,28,82,28,17,61,245,68,89,85,,,,,,,,,,,,,,,
Arizona,2020,16,4/18/2020,"1,306","1,213",11,254,38,69,21,74,12,21,54,238,48,93,83,,,,,,,,,,,,,,,
Arizona,2020,17,4/25/2020,"1,371","1,291",,266,38,75,17,64,23,13,59,277,63,101,95,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2020,18,5/2/2020,"1,389","1,288",,239,55,56,25,73,13,16,71,304,72,99,90,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2020,19,5/9/2020,"1,416","1,321",10,251,44,60,16,75,20,11,110,268,60,123,117,,,,,,,,,,,,,,,
Arizona,2020,20,5/16/2020,"1,285","1,190",,229,39,64,16,64,23,22,102,203,52,113,105,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2020,21,5/23/2020,"1,254","1,162",10,234,46,78,14,54,22,11,94,207,67,89,82,,,,,,,,,,,,,,,
Arizona,2020,22,5/30/2020,"1,259","1,186",,238,43,44,15,69,20,19,104,218,58,105,91,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2020,23,6/6/2020,"1,352","1,247",,246,38,63,17,59,14,12,120,233,57,124,119,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2020,24,6/13/2020,"1,299","1,235",10,224,42,60,12,64,26,10,124,234,49,127,119,,,,,,,,,,,,,,,
Arizona,2020,25,6/20/2020,"1,063","1,014",,191,38,62,10,72,22,10,106,164,53,78,76,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arkansas,2019,1,1/5/2019,692,631,14,115,24,29,18,46,13,10,,193,27,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2019,2,1/12/2019,601,570,,111,24,34,16,54,,11,0,171,30,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Arkansas,2019,3,1/19/2019,661,608,,123,21,32,14,58,15,15,,156,37,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2019,4,1/26/2019,650,604,10,111,31,25,18,50,,12,,173,28,0,0,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,5,2/2/2019,671,624,,128,19,30,12,45,,20,,200,31,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,6,2/9/2019,665,622,13,129,21,29,17,57,,,,174,27,0,0,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2019,7,2/16/2019,695,661,,134,29,29,19,63,,,,194,35,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2019,8,2/23/2019,723,676,11,146,27,26,23,60,13,16,,201,21,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2019,9,3/2/2019,643,605,,128,26,34,20,52,,14,,158,30,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,10,3/9/2019,686,633,,128,31,31,22,50,,12,,191,26,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,11,3/16/2019,703,657,10,132,27,38,29,64,12,15,,179,30,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2019,12,3/23/2019,671,619,,132,28,31,24,48,,15,,179,39,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,13,3/30/2019,660,620,10,111,24,29,,55,16,13,,181,32,0,0,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Arkansas,2019,14,4/6/2019,645,597,,116,24,34,,44,,13,0,185,30,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Arkansas,2019,15,4/13/2019,645,608,10,115,26,32,,48,12,,,192,19,0,0,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2019,16,4/20/2019,616,563,10,113,26,27,12,39,10,12,,164,23,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2019,17,4/27/2019,586,548,,115,19,27,17,34,10,,,177,36,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2019,18,5/4/2019,588,546,10,135,27,14,11,46,,13,,161,21,0,0,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,19,5/11/2019,567,522,,124,16,20,,39,,11,,161,24,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,20,5/18/2019,607,564,,123,18,31,,39,13,12,,158,30,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Arkansas,2019,21,5/25/2019,630,594,,130,19,25,12,42,,,,174,22,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2019,22,6/1/2019,565,514,,105,23,23,,43,10,12,,156,27,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Arkansas,2019,23,6/8/2019,573,522,,111,22,24,,40,13,13,,150,25,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Arkansas,2019,24,6/15/2019,635,587,10,136,25,40,,42,15,,,158,24,0,0,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2019,25,6/22/2019,554,505,,105,26,22,,36,,10,,156,23,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,26,6/29/2019,564,524,,117,21,27,,37,10,11,,152,25,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Arkansas,2019,27,7/6/2019,582,529,11,131,15,24,,39,,11,,159,23,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,28,7/13/2019,580,534,,108,22,26,,53,,16,,151,25,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,29,7/20/2019,580,528,13,117,26,26,10,41,,14,,145,26,0,0,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,30,7/27/2019,539,494,11,95,20,24,12,51,,,,138,21,0,0,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2019,31,8/3/2019,557,524,13,116,17,31,10,35,,,,158,26,0,0,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2019,32,8/10/2019,592,551,10,111,17,22,,44,10,,,160,25,0,0,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2019,33,8/17/2019,574,525,,126,22,26,,38,,10,,145,27,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,34,8/24/2019,587,545,,136,22,15,,58,,11,,141,32,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,35,8/31/2019,557,507,10,131,13,27,,30,,,,143,23,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2019,36,9/7/2019,528,477,,94,19,21,,31,,,,152,23,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2019,37,9/14/2019,638,590,11,151,12,32,10,39,,10,,171,30,0,0,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,38,9/21/2019,601,554,11,117,23,36,10,38,,17,,137,29,0,0,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,39,9/28/2019,598,539,,119,24,24,,45,,12,,138,31,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,40,10/5/2019,564,516,11,116,19,25,,24,,19,,159,28,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,41,10/12/2019,590,555,10,130,20,32,,44,,11,,152,37,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,42,10/19/2019,610,567,,132,27,26,,45,,10,,157,26,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,43,10/26/2019,618,574,11,130,20,37,15,38,12,15,,142,33,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2019,44,11/2/2019,595,560,,126,21,23,11,47,,14,,165,32,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,45,11/9/2019,632,590,12,120,21,37,10,34,,18,,166,25,0,0,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,46,11/16/2019,671,623,17,148,21,38,14,38,11,23,,167,32,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2019,47,11/23/2019,643,588,,119,19,37,14,39,,14,,158,36,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,48,11/30/2019,664,617,,132,36,33,13,43,,13,,148,41,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2019,49,12/7/2019,617,570,,100,22,32,13,47,12,12,,156,33,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2019,50,12/14/2019,660,610,11,130,24,37,,48,,12,,182,33,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
